model,version,avg,crossmodal3600 image_retrieval_recall@1 avg,crossmodal3600 image_retrieval_recall@1 ar,crossmodal3600 image_retrieval_recall@1 bn,crossmodal3600 image_retrieval_recall@1 cs,crossmodal3600 image_retrieval_recall@1 da,crossmodal3600 image_retrieval_recall@1 de,crossmodal3600 image_retrieval_recall@1 el,crossmodal3600 image_retrieval_recall@1 en,crossmodal3600 image_retrieval_recall@1 es,crossmodal3600 image_retrieval_recall@1 fa,crossmodal3600 image_retrieval_recall@1 fi,crossmodal3600 image_retrieval_recall@1 fil,crossmodal3600 image_retrieval_recall@1 fr,crossmodal3600 image_retrieval_recall@1 he,crossmodal3600 image_retrieval_recall@1 hi,crossmodal3600 image_retrieval_recall@1 hr,crossmodal3600 image_retrieval_recall@1 hu,crossmodal3600 image_retrieval_recall@1 id,crossmodal3600 image_retrieval_recall@1 it,crossmodal3600 image_retrieval_recall@1 ja,crossmodal3600 image_retrieval_recall@1 ko,crossmodal3600 image_retrieval_recall@1 mi,crossmodal3600 image_retrieval_recall@1 nl,crossmodal3600 image_retrieval_recall@1 no,crossmodal3600 image_retrieval_recall@1 pl,crossmodal3600 image_retrieval_recall@1 pt,crossmodal3600 image_retrieval_recall@1 quz,crossmodal3600 image_retrieval_recall@1 ro,crossmodal3600 image_retrieval_recall@1 ru,crossmodal3600 image_retrieval_recall@1 sv,crossmodal3600 image_retrieval_recall@1 sw,crossmodal3600 image_retrieval_recall@1 te,crossmodal3600 image_retrieval_recall@1 th,crossmodal3600 image_retrieval_recall@1 tr,crossmodal3600 image_retrieval_recall@1 uk,crossmodal3600 image_retrieval_recall@1 vi,crossmodal3600 image_retrieval_recall@1 zh,crossmodal3600 image_retrieval_recall@10 avg,crossmodal3600 image_retrieval_recall@10 ar,crossmodal3600 image_retrieval_recall@10 bn,crossmodal3600 image_retrieval_recall@10 cs,crossmodal3600 image_retrieval_recall@10 da,crossmodal3600 image_retrieval_recall@10 de,crossmodal3600 image_retrieval_recall@10 el,crossmodal3600 image_retrieval_recall@10 en,crossmodal3600 image_retrieval_recall@10 es,crossmodal3600 image_retrieval_recall@10 fa,crossmodal3600 image_retrieval_recall@10 fi,crossmodal3600 image_retrieval_recall@10 fil,crossmodal3600 image_retrieval_recall@10 fr,crossmodal3600 image_retrieval_recall@10 he,crossmodal3600 image_retrieval_recall@10 hi,crossmodal3600 image_retrieval_recall@10 hr,crossmodal3600 image_retrieval_recall@10 hu,crossmodal3600 image_retrieval_recall@10 id,crossmodal3600 image_retrieval_recall@10 it,crossmodal3600 image_retrieval_recall@10 ja,crossmodal3600 image_retrieval_recall@10 ko,crossmodal3600 image_retrieval_recall@10 mi,crossmodal3600 image_retrieval_recall@10 nl,crossmodal3600 image_retrieval_recall@10 no,crossmodal3600 image_retrieval_recall@10 pl,crossmodal3600 image_retrieval_recall@10 pt,crossmodal3600 image_retrieval_recall@10 quz,crossmodal3600 image_retrieval_recall@10 ro,crossmodal3600 image_retrieval_recall@10 ru,crossmodal3600 image_retrieval_recall@10 sv,crossmodal3600 image_retrieval_recall@10 sw,crossmodal3600 image_retrieval_recall@10 te,crossmodal3600 image_retrieval_recall@10 th,crossmodal3600 image_retrieval_recall@10 tr,crossmodal3600 image_retrieval_recall@10 uk,crossmodal3600 image_retrieval_recall@10 vi,crossmodal3600 image_retrieval_recall@10 zh,crossmodal3600 image_retrieval_recall@5 avg,crossmodal3600 image_retrieval_recall@5 ar,crossmodal3600 image_retrieval_recall@5 bn,crossmodal3600 image_retrieval_recall@5 cs,crossmodal3600 image_retrieval_recall@5 da,crossmodal3600 image_retrieval_recall@5 de,crossmodal3600 image_retrieval_recall@5 el,crossmodal3600 image_retrieval_recall@5 en,crossmodal3600 image_retrieval_recall@5 es,crossmodal3600 image_retrieval_recall@5 fa,crossmodal3600 image_retrieval_recall@5 fi,crossmodal3600 image_retrieval_recall@5 fil,crossmodal3600 image_retrieval_recall@5 fr,crossmodal3600 image_retrieval_recall@5 he,crossmodal3600 image_retrieval_recall@5 hi,crossmodal3600 image_retrieval_recall@5 hr,crossmodal3600 image_retrieval_recall@5 hu,crossmodal3600 image_retrieval_recall@5 id,crossmodal3600 image_retrieval_recall@5 it,crossmodal3600 image_retrieval_recall@5 ja,crossmodal3600 image_retrieval_recall@5 ko,crossmodal3600 image_retrieval_recall@5 mi,crossmodal3600 image_retrieval_recall@5 nl,crossmodal3600 image_retrieval_recall@5 no,crossmodal3600 image_retrieval_recall@5 pl,crossmodal3600 image_retrieval_recall@5 pt,crossmodal3600 image_retrieval_recall@5 quz,crossmodal3600 image_retrieval_recall@5 ro,crossmodal3600 image_retrieval_recall@5 ru,crossmodal3600 image_retrieval_recall@5 sv,crossmodal3600 image_retrieval_recall@5 sw,crossmodal3600 image_retrieval_recall@5 te,crossmodal3600 image_retrieval_recall@5 th,crossmodal3600 image_retrieval_recall@5 tr,crossmodal3600 image_retrieval_recall@5 uk,crossmodal3600 image_retrieval_recall@5 vi,crossmodal3600 image_retrieval_recall@5 zh,crossmodal3600 text_retrieval_recall@1 avg,crossmodal3600 text_retrieval_recall@1 ar,crossmodal3600 text_retrieval_recall@1 bn,crossmodal3600 text_retrieval_recall@1 cs,crossmodal3600 text_retrieval_recall@1 da,crossmodal3600 text_retrieval_recall@1 de,crossmodal3600 text_retrieval_recall@1 el,crossmodal3600 text_retrieval_recall@1 en,crossmodal3600 text_retrieval_recall@1 es,crossmodal3600 text_retrieval_recall@1 fa,crossmodal3600 text_retrieval_recall@1 fi,crossmodal3600 text_retrieval_recall@1 fil,crossmodal3600 text_retrieval_recall@1 fr,crossmodal3600 text_retrieval_recall@1 he,crossmodal3600 text_retrieval_recall@1 hi,crossmodal3600 text_retrieval_recall@1 hr,crossmodal3600 text_retrieval_recall@1 hu,crossmodal3600 text_retrieval_recall@1 id,crossmodal3600 text_retrieval_recall@1 it,crossmodal3600 text_retrieval_recall@1 ja,crossmodal3600 text_retrieval_recall@1 ko,crossmodal3600 text_retrieval_recall@1 mi,crossmodal3600 text_retrieval_recall@1 nl,crossmodal3600 text_retrieval_recall@1 no,crossmodal3600 text_retrieval_recall@1 pl,crossmodal3600 text_retrieval_recall@1 pt,crossmodal3600 text_retrieval_recall@1 quz,crossmodal3600 text_retrieval_recall@1 ro,crossmodal3600 text_retrieval_recall@1 ru,crossmodal3600 text_retrieval_recall@1 sv,crossmodal3600 text_retrieval_recall@1 sw,crossmodal3600 text_retrieval_recall@1 te,crossmodal3600 text_retrieval_recall@1 th,crossmodal3600 text_retrieval_recall@1 tr,crossmodal3600 text_retrieval_recall@1 uk,crossmodal3600 text_retrieval_recall@1 vi,crossmodal3600 text_retrieval_recall@1 zh,crossmodal3600 text_retrieval_recall@10 avg,crossmodal3600 text_retrieval_recall@10 ar,crossmodal3600 text_retrieval_recall@10 bn,crossmodal3600 text_retrieval_recall@10 cs,crossmodal3600 text_retrieval_recall@10 da,crossmodal3600 text_retrieval_recall@10 de,crossmodal3600 text_retrieval_recall@10 el,crossmodal3600 text_retrieval_recall@10 en,crossmodal3600 text_retrieval_recall@10 es,crossmodal3600 text_retrieval_recall@10 fa,crossmodal3600 text_retrieval_recall@10 fi,crossmodal3600 text_retrieval_recall@10 fil,crossmodal3600 text_retrieval_recall@10 fr,crossmodal3600 text_retrieval_recall@10 he,crossmodal3600 text_retrieval_recall@10 hi,crossmodal3600 text_retrieval_recall@10 hr,crossmodal3600 text_retrieval_recall@10 hu,crossmodal3600 text_retrieval_recall@10 id,crossmodal3600 text_retrieval_recall@10 it,crossmodal3600 text_retrieval_recall@10 ja,crossmodal3600 text_retrieval_recall@10 ko,crossmodal3600 text_retrieval_recall@10 mi,crossmodal3600 text_retrieval_recall@10 nl,crossmodal3600 text_retrieval_recall@10 no,crossmodal3600 text_retrieval_recall@10 pl,crossmodal3600 text_retrieval_recall@10 pt,crossmodal3600 text_retrieval_recall@10 quz,crossmodal3600 text_retrieval_recall@10 ro,crossmodal3600 text_retrieval_recall@10 ru,crossmodal3600 text_retrieval_recall@10 sv,crossmodal3600 text_retrieval_recall@10 sw,crossmodal3600 text_retrieval_recall@10 te,crossmodal3600 text_retrieval_recall@10 th,crossmodal3600 text_retrieval_recall@10 tr,crossmodal3600 text_retrieval_recall@10 uk,crossmodal3600 text_retrieval_recall@10 vi,crossmodal3600 text_retrieval_recall@10 zh,crossmodal3600 text_retrieval_recall@5 avg,crossmodal3600 text_retrieval_recall@5 ar,crossmodal3600 text_retrieval_recall@5 bn,crossmodal3600 text_retrieval_recall@5 cs,crossmodal3600 text_retrieval_recall@5 da,crossmodal3600 text_retrieval_recall@5 de,crossmodal3600 text_retrieval_recall@5 el,crossmodal3600 text_retrieval_recall@5 en,crossmodal3600 text_retrieval_recall@5 es,crossmodal3600 text_retrieval_recall@5 fa,crossmodal3600 text_retrieval_recall@5 fi,crossmodal3600 text_retrieval_recall@5 fil,crossmodal3600 text_retrieval_recall@5 fr,crossmodal3600 text_retrieval_recall@5 he,crossmodal3600 text_retrieval_recall@5 hi,crossmodal3600 text_retrieval_recall@5 hr,crossmodal3600 text_retrieval_recall@5 hu,crossmodal3600 text_retrieval_recall@5 id,crossmodal3600 text_retrieval_recall@5 it,crossmodal3600 text_retrieval_recall@5 ja,crossmodal3600 text_retrieval_recall@5 ko,crossmodal3600 text_retrieval_recall@5 mi,crossmodal3600 text_retrieval_recall@5 nl,crossmodal3600 text_retrieval_recall@5 no,crossmodal3600 text_retrieval_recall@5 pl,crossmodal3600 text_retrieval_recall@5 pt,crossmodal3600 text_retrieval_recall@5 quz,crossmodal3600 text_retrieval_recall@5 ro,crossmodal3600 text_retrieval_recall@5 ru,crossmodal3600 text_retrieval_recall@5 sv,crossmodal3600 text_retrieval_recall@5 sw,crossmodal3600 text_retrieval_recall@5 te,crossmodal3600 text_retrieval_recall@5 th,crossmodal3600 text_retrieval_recall@5 tr,crossmodal3600 text_retrieval_recall@5 uk,crossmodal3600 text_retrieval_recall@5 vi,crossmodal3600 text_retrieval_recall@5 zh,multilingual_mscoco_captions image_retrieval_recall@1 avg,multilingual_mscoco_captions image_retrieval_recall@1 de,multilingual_mscoco_captions image_retrieval_recall@1 en,multilingual_mscoco_captions image_retrieval_recall@1 es,multilingual_mscoco_captions image_retrieval_recall@1 fr,multilingual_mscoco_captions image_retrieval_recall@1 it,multilingual_mscoco_captions image_retrieval_recall@1 jp,multilingual_mscoco_captions image_retrieval_recall@1 ko,multilingual_mscoco_captions image_retrieval_recall@1 pl,multilingual_mscoco_captions image_retrieval_recall@1 ru,multilingual_mscoco_captions image_retrieval_recall@1 tr,multilingual_mscoco_captions image_retrieval_recall@1 zh,multilingual_mscoco_captions image_retrieval_recall@10 avg,multilingual_mscoco_captions image_retrieval_recall@10 de,multilingual_mscoco_captions image_retrieval_recall@10 en,multilingual_mscoco_captions image_retrieval_recall@10 es,multilingual_mscoco_captions image_retrieval_recall@10 fr,multilingual_mscoco_captions image_retrieval_recall@10 it,multilingual_mscoco_captions image_retrieval_recall@10 jp,multilingual_mscoco_captions image_retrieval_recall@10 ko,multilingual_mscoco_captions image_retrieval_recall@10 pl,multilingual_mscoco_captions image_retrieval_recall@10 ru,multilingual_mscoco_captions image_retrieval_recall@10 tr,multilingual_mscoco_captions image_retrieval_recall@10 zh,multilingual_mscoco_captions image_retrieval_recall@5 avg,multilingual_mscoco_captions image_retrieval_recall@5 de,multilingual_mscoco_captions image_retrieval_recall@5 en,multilingual_mscoco_captions image_retrieval_recall@5 es,multilingual_mscoco_captions image_retrieval_recall@5 fr,multilingual_mscoco_captions image_retrieval_recall@5 it,multilingual_mscoco_captions image_retrieval_recall@5 jp,multilingual_mscoco_captions image_retrieval_recall@5 ko,multilingual_mscoco_captions image_retrieval_recall@5 pl,multilingual_mscoco_captions image_retrieval_recall@5 ru,multilingual_mscoco_captions image_retrieval_recall@5 tr,multilingual_mscoco_captions image_retrieval_recall@5 zh,multilingual_mscoco_captions text_retrieval_recall@1 avg,multilingual_mscoco_captions text_retrieval_recall@1 de,multilingual_mscoco_captions text_retrieval_recall@1 en,multilingual_mscoco_captions text_retrieval_recall@1 es,multilingual_mscoco_captions text_retrieval_recall@1 fr,multilingual_mscoco_captions text_retrieval_recall@1 it,multilingual_mscoco_captions text_retrieval_recall@1 jp,multilingual_mscoco_captions text_retrieval_recall@1 ko,multilingual_mscoco_captions text_retrieval_recall@1 pl,multilingual_mscoco_captions text_retrieval_recall@1 ru,multilingual_mscoco_captions text_retrieval_recall@1 tr,multilingual_mscoco_captions text_retrieval_recall@1 zh,multilingual_mscoco_captions text_retrieval_recall@10 avg,multilingual_mscoco_captions text_retrieval_recall@10 de,multilingual_mscoco_captions text_retrieval_recall@10 en,multilingual_mscoco_captions text_retrieval_recall@10 es,multilingual_mscoco_captions text_retrieval_recall@10 fr,multilingual_mscoco_captions text_retrieval_recall@10 it,multilingual_mscoco_captions text_retrieval_recall@10 jp,multilingual_mscoco_captions text_retrieval_recall@10 ko,multilingual_mscoco_captions text_retrieval_recall@10 pl,multilingual_mscoco_captions text_retrieval_recall@10 ru,multilingual_mscoco_captions text_retrieval_recall@10 tr,multilingual_mscoco_captions text_retrieval_recall@10 zh,multilingual_mscoco_captions text_retrieval_recall@5 avg,multilingual_mscoco_captions text_retrieval_recall@5 de,multilingual_mscoco_captions text_retrieval_recall@5 en,multilingual_mscoco_captions text_retrieval_recall@5 es,multilingual_mscoco_captions text_retrieval_recall@5 fr,multilingual_mscoco_captions text_retrieval_recall@5 it,multilingual_mscoco_captions text_retrieval_recall@5 jp,multilingual_mscoco_captions text_retrieval_recall@5 ko,multilingual_mscoco_captions text_retrieval_recall@5 pl,multilingual_mscoco_captions text_retrieval_recall@5 ru,multilingual_mscoco_captions text_retrieval_recall@5 tr,multilingual_mscoco_captions text_retrieval_recall@5 zh
xlm-roberta-large-ViT-H-14,frozen_laion5b_s13b_b90k,0.7063,0.5022,0.4606,0.0542,0.4608,0.6678,0.7331,0.5225,0.5133,0.6217,0.5639,0.5711,0.0997,0.6853,0.6403,0.215,0.6542,0.6494,0.6431,0.6642,0.7261,0.5153,0.0044,0.5608,0.5564,0.6308,0.615,0.0361,0.7008,0.7028,0.5394,0.0267,0.0064,0.5433,0.5881,0.6703,0.6475,0.5906,0.7599,0.8122,0.1856,0.8228,0.9358,0.9594,0.8442,0.8514,0.9203,0.8783,0.88,0.2417,0.9444,0.9181,0.5225,0.9275,0.9272,0.9192,0.9361,0.96,0.8511,0.0183,0.8875,0.8883,0.9094,0.9103,0.1106,0.9494,0.9511,0.8592,0.0683,0.0283,0.8769,0.8997,0.9378,0.9303,0.8933,0.7049,0.7225,0.1297,0.7406,0.8953,0.9242,0.7728,0.7783,0.8631,0.8047,0.8142,0.1958,0.9044,0.8642,0.4183,0.8758,0.8758,0.8658,0.8892,0.9225,0.7681,0.0136,0.8208,0.8186,0.8533,0.8483,0.0844,0.9117,0.9131,0.7867,0.0567,0.0175,0.8011,0.8292,0.8881,0.8781,0.8317,0.5338,0.4869,0.1206,0.4989,0.7314,0.7694,0.5608,0.5267,0.6197,0.6028,0.6203,0.1344,0.7103,0.6822,0.2778,0.7061,0.6664,0.6756,0.6936,0.7556,0.5608,0.0097,0.5533,0.6272,0.645,0.6153,0.0539,0.7433,0.6992,0.5861,0.0442,0.0144,0.5869,0.5992,0.7078,0.6989,0.6322,0.7891,0.8478,0.3214,0.87,0.9611,0.975,0.8808,0.8697,0.9297,0.9056,0.9175,0.2861,0.9617,0.9372,0.6089,0.9489,0.945,0.9431,0.9542,0.9719,0.8875,0.0261,0.8894,0.9219,0.9303,0.92,0.1517,0.9714,0.9564,0.8947,0.0953,0.0625,0.9094,0.9189,0.9594,0.9572,0.9206,0.7372,0.7622,0.2508,0.7811,0.9233,0.9483,0.8117,0.7889,0.87,0.8417,0.8544,0.2436,0.9172,0.8878,0.5169,0.9139,0.8872,0.8947,0.9114,0.9444,0.8136,0.0211,0.8158,0.8692,0.8778,0.8631,0.1214,0.9394,0.915,0.8347,0.0767,0.0411,0.8456,0.8553,0.9161,0.9172,0.8667,0.6456,0.648,0.735,0.659,0.646,0.649,0.643,0.565,0.687,0.624,0.627,0.619,0.9325,0.935,0.951,0.947,0.928,0.948,0.923,0.903,0.948,0.916,0.924,0.934,0.8714,0.874,0.908,0.891,0.867,0.879,0.862,0.832,0.895,0.854,0.866,0.857,0.6447,0.656,0.715,0.682,0.645,0.664,0.623,0.528,0.68,0.627,0.635,0.637,0.9483,0.952,0.973,0.96,0.945,0.96,0.94,0.903,0.964,0.939,0.948,0.947,0.8836,0.896,0.924,0.899,0.885,0.897,0.871,0.813,0.913,0.86,0.878,0.884
nllb-clip-base-siglip,v1,0.7103,0.5068,0.5019,0.4842,0.4314,0.6344,0.6447,0.4506,0.4486,0.5383,0.5058,0.5625,0.3708,0.6106,0.6147,0.3258,0.6247,0.5833,0.5978,0.5772,0.5953,0.5031,0.2183,0.5194,0.53,0.5397,0.5136,0.1642,0.6206,0.59,0.5003,0.4028,0.3422,0.5283,0.5483,0.5658,0.5669,0.4883,0.8352,0.8553,0.8264,0.8128,0.9217,0.9233,0.8108,0.8075,0.8728,0.8478,0.8839,0.7339,0.9142,0.9033,0.6858,0.915,0.8892,0.9047,0.9003,0.8925,0.8394,0.5389,0.8683,0.8672,0.8531,0.87,0.4286,0.9178,0.9025,0.8417,0.7706,0.7286,0.8583,0.8839,0.8819,0.8919,0.8242,0.7598,0.7694,0.7422,0.7183,0.8664,0.8725,0.7194,0.7222,0.7997,0.7669,0.8139,0.6478,0.8558,0.8392,0.5808,0.8628,0.8278,0.8417,0.8267,0.8314,0.7544,0.435,0.7883,0.7994,0.7861,0.795,0.3464,0.8617,0.8369,0.7617,0.6714,0.6208,0.7883,0.81,0.8192,0.8256,0.7469,0.467,0.4492,0.4606,0.3964,0.5958,0.6,0.4242,0.4156,0.4931,0.4581,0.5106,0.3531,0.5706,0.5478,0.3372,0.5736,0.5256,0.5533,0.5183,0.5478,0.4739,0.1956,0.4756,0.4944,0.4831,0.4833,0.1625,0.5564,0.5356,0.4583,0.3806,0.3206,0.4842,0.5031,0.5206,0.5211,0.4314,0.8172,0.8281,0.8317,0.7936,0.9117,0.9106,0.7808,0.7864,0.855,0.8194,0.8597,0.7139,0.8997,0.8864,0.7061,0.9056,0.8778,0.8897,0.8797,0.8875,0.8272,0.5081,0.8361,0.86,0.8336,0.8397,0.4128,0.9036,0.8803,0.8194,0.7447,0.6911,0.8472,0.8589,0.8592,0.8808,0.7931,0.7317,0.7369,0.7361,0.6833,0.8475,0.8444,0.6886,0.6908,0.7697,0.7289,0.7875,0.6117,0.8364,0.8114,0.5986,0.8447,0.8014,0.8192,0.7861,0.8117,0.7414,0.4056,0.7433,0.7703,0.7542,0.7492,0.3322,0.8361,0.8064,0.7222,0.6406,0.5753,0.7625,0.7767,0.7867,0.8003,0.7019,0.6258,0.627,0.686,0.652,0.648,0.643,0.546,0.599,0.654,0.607,0.638,0.584,0.9275,0.935,0.952,0.939,0.935,0.944,0.878,0.922,0.944,0.886,0.943,0.924,0.8574,0.87,0.887,0.867,0.87,0.878,0.808,0.836,0.876,0.824,0.868,0.847,0.5701,0.588,0.624,0.574,0.582,0.591,0.494,0.547,0.58,0.553,0.59,0.548,0.9135,0.916,0.939,0.935,0.921,0.936,0.845,0.899,0.927,0.883,0.931,0.917,0.8383,0.843,0.875,0.851,0.844,0.856,0.765,0.826,0.866,0.812,0.855,0.828
nllb-clip-large-siglip,v1,0.7391,0.5457,0.5203,0.4908,0.4636,0.6558,0.6872,0.5133,0.4586,0.5789,0.5356,0.6192,0.4308,0.6483,0.6569,0.3514,0.6636,0.6461,0.6375,0.6183,0.6258,0.5442,0.2606,0.5644,0.5769,0.5958,0.5767,0.1925,0.6883,0.6275,0.5442,0.4322,0.3731,0.5569,0.5769,0.6156,0.5964,0.5206,0.8605,0.8647,0.8256,0.8439,0.9303,0.94,0.8556,0.82,0.8964,0.8775,0.9172,0.7881,0.9331,0.9311,0.7033,0.9378,0.9275,0.9186,0.9158,0.9144,0.8631,0.5908,0.8936,0.8967,0.8894,0.8972,0.4731,0.9442,0.9256,0.8719,0.7939,0.745,0.8808,0.9011,0.9133,0.9139,0.8444,0.7912,0.7892,0.7511,0.7572,0.8714,0.8956,0.7789,0.7311,0.8264,0.8042,0.8644,0.6981,0.8789,0.8786,0.6028,0.8867,0.8789,0.8631,0.8594,0.8606,0.7872,0.4897,0.8169,0.8261,0.8275,0.8272,0.3906,0.9003,0.8644,0.7933,0.7094,0.6542,0.8111,0.8339,0.8544,0.8556,0.7656,0.5053,0.4789,0.4878,0.4311,0.6167,0.6364,0.4767,0.4353,0.5383,0.4928,0.5706,0.3833,0.6153,0.6064,0.36,0.6203,0.5869,0.5975,0.5644,0.5753,0.4919,0.2325,0.5161,0.5425,0.5411,0.5236,0.1853,0.6281,0.5872,0.4906,0.3906,0.3364,0.5142,0.5467,0.5697,0.5506,0.4708,0.8456,0.8392,0.8303,0.825,0.9236,0.9275,0.8222,0.8119,0.8825,0.8528,0.9114,0.7567,0.9281,0.9161,0.7125,0.9267,0.9142,0.9114,0.9014,0.8975,0.8511,0.5689,0.8711,0.8858,0.8739,0.875,0.4494,0.9414,0.9083,0.8494,0.7764,0.7203,0.8733,0.8794,0.9017,0.9028,0.8236,0.7691,0.7583,0.7558,0.7297,0.8658,0.875,0.7478,0.7078,0.8119,0.7639,0.8425,0.6594,0.8664,0.8567,0.6189,0.8694,0.8525,0.8433,0.835,0.8403,0.7675,0.4608,0.7928,0.8208,0.7958,0.7933,0.3633,0.8883,0.8464,0.7658,0.6772,0.6128,0.7956,0.8039,0.8322,0.8314,0.7383,0.6502,0.669,0.7,0.665,0.66,0.674,0.571,0.633,0.679,0.606,0.672,0.623,0.9395,0.942,0.965,0.946,0.94,0.956,0.884,0.936,0.953,0.915,0.952,0.945,0.8698,0.882,0.894,0.882,0.876,0.893,0.809,0.852,0.894,0.835,0.883,0.868,0.5847,0.589,0.628,0.605,0.604,0.6,0.506,0.537,0.615,0.569,0.607,0.572,0.9267,0.931,0.958,0.939,0.921,0.952,0.867,0.919,0.945,0.892,0.938,0.932,0.8472,0.843,0.883,0.858,0.863,0.867,0.782,0.832,0.869,0.809,0.871,0.842
